Set,Lottery,Sequence,Value,Winner,,
Set 1,Melate,1,4.52,,,
Set 1,Melate,2,4.51,,,
Set 1,Melate,3,4.56,,,
Set 1,Melate,4,"4.53 (real weigh was 4.58, but wasn’t logged)",,,
Set 1,Melate,5,4.54,,,
Set 1,Melate,6,4.59,,,
Set 1,Melate,7,4.56,,,
Set 1,Melate,8,4.54,,,
Set 1,Melate,9,"4.52 (real weigh 4.53, not logged, acceptable result due to slow transition)",,,
Set 1,Melate,10,4.59,,,
Set 1,Melate,11,4.5,,,
Set 1,Melate,12,4.57,,,
Set 1,Melate,13,4.52,Winner,,
Set 1,Melate,14,"4.58 (real weigh 4.57, not logged, acceptable result due to slow transition)",,,Winner
Set 1,Melate,15,4.53,,,
Set 1,Melate,16,4.58,,,
Set 1,Melate,17,4.6,,,
Set 1,Melate,18,4.5,,,
Set 1,Melate,19,4.57,,,
Set 1,Melate,20,4.56,Winner,,
Set 1,Melate,21,4.51,,,
Set 1,Melate,22,4.58,,,
Set 1,Melate,23,4.5,,,
Set 1,Melate,24,4.53,,,
Set 1,Melate,25,4.58,,,
Set 1,Melate,26,4.54,,,
Set 1,Melate,27,4.59,,,
Set 1,Melate,28,4.55,,,
Set 1,Melate,29,4.51,,,
Set 1,Melate,30,4.57,,,
Set 1,Melate,31,4.56,,,
Set 1,Melate,32,4.52,,,
Set 1,Melate,33,4.56,,,
Set 1,Melate,34,4.53,,,
Set 1,Melate,35,4.56,,,
Set 1,Melate,36,4.54,,,
Set 1,Melate,37,4.56,,,
Set 1,Melate,38,4.58,,,
Set 1,Melate,39,4.54,,,
Set 1,Melate,40,4.6,,,
Set 1,Melate,41,4.51,,,
Set 1,Melate,42,"4.57 (real weigh 4.58 not logged, acceptable result due to slow transition)",,,
Set 1,Melate,43,4.5,,,
Set 1,Melate,44,4.52,Winner,,
Set 1,Melate,45,4.55,,,
Set 1,Melate,46,4.59,,,
Set 1,Melate,47,4.52,,,
Set 1,Melate,48,4.55,,,
Set 1,Melate,49,4.53,,,
Set 1,Melate,50,4.55,Winner,,
Set 1,Melate,51,4.59,,,
Set 1,Melate,"52-56 in log, but not accepted in program",,,,
Set 1,Melate,52,"4.52 (in log, but not in program)",Winner,,
Set 1,Melate,53,"4.55 (in log, but not in program)",,,
Set 1,Melate,54,"4.52 (in log, but not in program)",,,
Set 1,Melate,55,"4.55 (in log, but not in program)",,,
Set 1,Melate,56,"4.59 (in log, but not in program)",Winner,,
Set 2,Revancha,1,4.36,,,
Set 2,Revancha,2,4.33,,,
Set 2,Revancha,3,4.37,,,
Set 2,Revancha,4,4.35,,,
Set 2,Revancha,5,4.3,,,
Set 2,Revancha,6,4.4,,,
Set 2,Revancha,7,3.63,Winner,,
Set 2,Revancha,8,4.57,,,
Set 2,Revancha,9,4.38,,,
Set 2,Revancha,10,4.32,,,
Set 2,Revancha,11,4.33,,,
Set 2,Revancha,12,4.34,,,
Set 2,Revancha,13,4.33,,,
Set 2,Revancha,14,4.33,,,
Set 2,Revancha,15,4.35,Winner,,
Set 2,Revancha,16,4.35,,,
Set 2,Revancha,17,"4.4 (real result 4.33, not logged, not acceptable)",,,
Set 2,Revancha,18,4.4,Winner,,
Set 2,Revancha,19,4.38,,,
Set 2,Revancha,20,4.35,,,
Set 2,Revancha,21,4.33,,,
Set 2,Revancha,22,4.34,Winner,,
Set 2,Revancha,23,4.32,,,
Set 2,Revancha,24,4.31,,,
Set 2,Revancha,25,4.3,,,
Set 2,Revancha,26,4.35,,,
Set 2,Revancha,27,4.33,,,
Set 2,Revancha,28,4.3,,,
Set 2,Revancha,29,4.39,,,
Set 2,Revancha,30,4.35,,,
Set 2,Revancha,31,4.38,,,
Set 2,Revancha,32,4.36,Winner,,
Set 2,Revancha,33,4.32,,,
Set 2,Revancha,34,4.37,,,
Set 2,Revancha,35,4.31,,,
Set 2,Revancha,36,4.33,,,
Set 2,Revancha,37,4.35,,,
Set 2,Revancha,38,4.35,,,
Set 2,Revancha,39,4.33,,,
Set 2,Revancha,40,4.34,,,
Set 2,Revancha,41,4.35,,,
Set 2,Revancha,42,4.39,,,
Set 2,Revancha,43,4.3,,,
Set 2,Revancha,44,4.35,,,
Set 2,Revancha,45,4.34,Winner,,
Set 2,Revancha,46,4.34,,,
Set 2,Revancha,47,4.36,,,
Set 2,Revancha,48,4.42,,,
Set 2,Revancha,49,4.32,,,
Set 2,Revancha,50,4.34,,,
Set 2,Revancha,51,4.36,,,
Set 2,Revancha,"(52 – 56 logged, but not accepted in program)",,,,
Set 2,Revancha,52,"4.32 (in log, but not in program)",,,
Set 2,Revancha,53,not in log nor program,,,
Set 2,Revancha,54,"4.34 (in log, but not in program)",,,
Set 2,Revancha,55,"4.36 (in log, but not in program)",,,
Set 2,Revancha,56,not in log nor program,,,
Set 3,Revanchita,1,4.45,,,
Set 3,Revanchita,2,4.56,,,
Set 3,Revanchita,3,4.59,,,
Set 3,Revanchita,4,4.51,,,
Set 3,Revanchita,5,4.52,,,
Set 3,Revanchita,6,4.59,,,
Set 3,Revanchita,7,4.59,Winner,,
Set 3,Revanchita,8,4.52,Winner,,
Set 3,Revanchita,9,4.48,,,
Set 3,Revanchita,10,4.59,,,
Set 3,Revanchita,11,4.55,,,
Set 3,Revanchita,12,4.54,,,
Set 3,Revanchita,13,4.54,Winner,,
Set 3,Revanchita,14,4.57,,,
Set 3,Revanchita,15,4.58,,,
Set 3,Revanchita,16,4.5,,,
Set 3,Revanchita,17,4.49,,,
Set 3,Revanchita,18,4.58,,,
Set 3,Revanchita,19,4.57,,,
Set 3,Revanchita,20,4.55,,,
Set 3,Revanchita,21,4.56,,,
Set 3,Revanchita,22,4.53,,,
Set 3,Revanchita,23,4.53,,,
Set 3,Revanchita,24,4.52,,,
Set 3,Revanchita,25,4.56,,,
Set 3,Revanchita,26,4.48,,,
Set 3,Revanchita,27,4.51,,,
Set 3,Revanchita,28,4.51,,,
Set 3,Revanchita,29,5,,,
Set 3,Revanchita,30,4.57,,,
Set 3,Revanchita,31,4.54,,,
Set 3,Revanchita,32,4.52,,,
Set 3,Revanchita,33,4.58,,,
Set 3,Revanchita,34,4.58,,,
Set 3,Revanchita,35,4.56,,,
Set 3,Revanchita,36,4.58,winner,,
Set 3,Revanchita,37,4.57,,,
Set 3,Revanchita,38,4.51,,,
Set 3,Revanchita,39,4.56,,,
Set 3,Revanchita,40,4.59,,,
Set 3,Revanchita,41,4.54,,,
Set 3,Revanchita,42,4.54,,,
Set 3,Revanchita,43,4.54,winner,,
Set 3,Revanchita,44,4.51,,,
Set 3,Revanchita,45,4.6,,,
Set 3,Revanchita,46,4.57,,,
Set 3,Revanchita,"47 -56 logged with correct numbers, but didn’t show up in program",,,,
Set 3,Revanchita,47,"4.59 (in log, but not in program)",winner,,
Set 3,Revanchita,48,"4.54 (in log, but not in program)",,,
Set 3,Revanchita,49,"4.52 (in log, but not in program)",,,
Set 3,Revanchita,50,"4.54 (in log, but not in program)",,,
Set 3,Revanchita,51,"4.54 (in log, but not in program)",,,
Set 3,Revanchita,52,"4.49 (in log, but not in program)",,,
Set 3,Revanchita,53,"4.51 (in log, but not in program)",,,
Set 3,Revanchita,54,"4.53 (in log, but not in program)",,,
Set 3,Revanchita,55,"4.59 (in log, but not in program)",,,
Set 3,Revanchita,56,"4.57 (in log, but not in program)",,,
,,,,,,
,,,,,,
Melate,"Program managed to read 2 numbers, ignored all the rest",,,,,
For bug 6,Program failed to read any of the numbers,,,,,
Revanchita,Program failed to read any of the numbers,,,,,
