Set,Lottery,Sequence,Value,Top10,Bottom10,Winner
Set 1,Melate,1,4.52,,Bottom 10,
Set 1,Melate,2,4.51,,Bottom 5,
Set 1,Melate,3,4.56,,,
Set 1,Melate,4,4.58,Top 8,,
Set 1,Melate,5,4.54,,,
Set 1,Melate,6,4.54,,,
Set 1,Melate,7,4.59,Top 3,,
Set 1,Melate,8,4.56,,,
Set 1,Melate,9,4.53,,,
Set 1,Melate,10,4.52,,,
Set 1,Melate,11,4.59,Top 4,,
Set 1,Melate,12,4.50,,Bottom 1,
Set 1,Melate,13,4.56,,,
Set 1,Melate,14,4.56,,,YES
Set 1,Melate,15,4.51,,Bottom 6,
Set 1,Melate,16,4.58,Top 9,,
Set 1,Melate,17,4.53,,,
Set 1,Melate,18,4.58,Top 10,,
Set 1,Melate,19,4.60,Top 1,,
Set 1,Melate,20,4.50,,Bottom 2,
Set 1,Melate,21,4.56,,,
Set 1,Melate,22,4.56,,,
Set 1,Melate,23,4.51,,Bottom 7,
Set 1,Melate,24,4.57,,,
Set 1,Melate,25,4.50,,Bottom 3,
Set 1,Melate,26,4.53,,,
Set 1,Melate,27,4.59,Top 5,,
Set 1,Melate,28,4.54,,,
Set 1,Melate,29,4.51,,Bottom 8,
Set 1,Melate,30,4.57,,,
Set 1,Melate,31,4.56,,,
Set 1,Melate,32,4.52,,,
Set 1,Melate,33,4.53,,,
Set 1,Melate,34,4.56,,,
Set 1,Melate,35,4.54,,,
Set 1,Melate,36,4.56,,,
Set 1,Melate,37,4.59,Top 6,,
Set 1,Melate,38,4.60,Top 2,,
Set 1,Melate,39,4.51,,Bottom 9,
Set 1,Melate,40,4.57,,,
Set 1,Melate,41,4.50,,Bottom 4,
Set 1,Melate,42,4.52,,,
Set 1,Melate,43,4.55,,,
Set 1,Melate,44,4.57,,,YES
Set 1,Melate,45,4.53,,,
Set 1,Melate,46,4.55,,,
Set 1,Melate,47,4.55,,,
Set 1,Melate,48,4.55,,,
Set 1,Melate,49,4.59,Top 7,,
Set 2,Revancha,1,4.36,,,
Set 2,Revancha,2,4.33,,,
Set 2,Revancha,3,4.36,,,
Set 2,Revancha,4,4.35,,,
Set 2,Revancha,5,4.30,,Bottom 1,
Set 2,Revancha,6,4.40,Top 1,,
Set 2,Revancha,7,4.35,,,
Set 2,Revancha,8,4.32,,Bottom 7,
Set 2,Revancha,9,4.38,Top 5,,
Set 2,Revancha,10,4.33,,,
Set 2,Revancha,11,4.33,,,
Set 2,Revancha,12,4.35,,,
Set 2,Revancha,13,4.32,,Bottom 8,
Set 2,Revancha,14,4.33,,,
Set 2,Revancha,15,4.40,Top 2,,
Set 2,Revancha,16,4.38,Top 6,,
Set 2,Revancha,17,4.35,,,
Set 2,Revancha,18,4.33,,,
Set 2,Revancha,19,4.34,,,
Set 2,Revancha,20,4.32,,Bottom 9,
Set 2,Revancha,21,4.31,,Bottom 4,
Set 2,Revancha,22,4.30,,Bottom 2,
Set 2,Revancha,23,4.39,Top 3,,
Set 2,Revancha,24,4.35,,,
Set 2,Revancha,25,4.38,Top 7,,
Set 2,Revancha,26,4.36,,,
Set 2,Revancha,27,4.32,,Bottom 10,
Set 2,Revancha,28,4.37,Top 10,,
Set 2,Revancha,29,4.31,,Bottom 5,
Set 2,Revancha,30,4.35,,,
Set 2,Revancha,31,4.36,,,
Set 2,Revancha,32,4.33,,,
